platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,openvino,int8_ve_only,GPU,text,Potatoes,10,653.6295463098213,24.501823391133,1.5299185993743292,1.0,0.9193089521937994,8.0,10.003824142972007
Arc_B60,openvino,int8_w8a16,CPU,text,Candies,12,5182.751397088093,85.14148071004583,0.19294770738219197,0.9920370370370369,0.9446495758388705,20.5,2.8534303929191083
Arc_B60,openvino,int8_w8a16,CPU,text,Potatoes,10,5228.128980589099,125.6197994928399,0.19127301635303595,1.0,0.984887094267498,8.0,2.8451514919288456
Arc_B60,openvino,int8_w8a16,GPU,canvas,Candies,11,757.9591166312722,45.0443185892846,1.3193323730235895,0.9913131313131313,0.8756016258000099,20.272727272727273,5.198535072035156
Arc_B60,openvino,int8_w8a16,GPU,canvas,LED,14,549.9173227747503,14.587310396289304,1.8184551724143565,0.7240220097362954,0.7364432252299887,7.0,5.117112329928204
Arc_B60,openvino,int8_w8a16,GPU,canvas,Nuts,20,469.77963769459166,17.748822172140613,2.128657608293593,0.8805555555555555,0.8777441556964731,3.1,5.201561950030737
Arc_B60,openvino,int8_w8a16,GPU,canvas,Potatoes,9,650.1256701044945,123.07326363443741,1.5381641519235356,1.0,0.9551948262210672,8.0,5.14489081595093
Arc_B60,openvino,int8_w8a16,GPU,text,Candies,12,471.5336346125696,11.780701838843688,2.120739490453611,0.9920370370370369,0.8649728198889512,20.5,5.036795858060941
Arc_B60,openvino,int8_w8a16,GPU,text,LED,15,419.4748110525931,12.589538575611964,2.383933370136548,0.0,0.0,0.0,5.134150451980531
Arc_B60,openvino,int8_w8a16,GPU,text,Nuts,21,511.58372438623616,10.936547359562255,1.9547142575728595,0.7032312925170067,0.9177411531194207,6.428571428571429,5.1167901259614155
Arc_B60,openvino,int8_w8a16,GPU,text,Potatoes,10,493.3145574876107,21.47991211717893,2.027104176882342,1.0,0.9448751057738776,8.0,6.7681042639305815
Arc_B60,pytorch,pytorch,cuda,canvas,Candies,11,1063.1909064567562,91.41644555032381,0.9405648542768773,0.9906120023767083,0.9395042843602586,19.818181818181817,5.74320095195435
Arc_B60,pytorch,pytorch,cuda,canvas,LED,14,679.9205090085577,19.559177059838984,1.4707601649760114,0.7604617604617605,0.7935072977724621,5.642857142857143,4.805085554020479
Arc_B60,pytorch,pytorch,cuda,canvas,Nuts,20,548.017421743134,24.096493732392204,1.8247595064025512,0.9067460317460319,0.919735147322737,3.2,5.220276460982859
